
aa:	repeticiones 43		P= 0.0004243183769328689	I= 11.202565217452044 bits
ab:	repeticiones 205		P= 0.002022913192354375	I= 8.949349872648694 bits
ac:	repeticiones 233		P= 0.0022992135308222894	I= 8.76464382749986 bits
aç:	repeticiones 117		P= 0.0011545407000266433	I= 9.758465252570737 bits
ad:	repeticiones 674		P= 0.006650943861691945	I= 7.232225190972283 bits
ae:	repeticiones 37		P= 0.0003651111615468872	I= 11.41937660652519 bits
af:	repeticiones 53		P= 0.0005229970692428384	I= 10.900909517590941 bits
ag:	repeticiones 173		P= 0.0017071413769624724	I= 9.194201744517416 bits
ah:	repeticiones 6		P= 5.9207215385981705e-05	I= 14.043867471432986 bits
ai:	repeticiones 306		P= 0.003019567984685067	I= 8.371442129461489 bits
aj:	repeticiones 36		P= 0.00035524329231589023	I= 11.45890497071183 bits
ak:	repeticiones 0		P= 0.0	I= 0 bits
al:	repeticiones 571		P= 0.005634553330899259	I= 7.471483036791298 bits
am:	repeticiones 640		P= 0.006315436307838048	I= 7.306901877266779 bits
an:	repeticiones 651		P= 0.006423982869379015	I= 7.282316238988505 bits
ao:	repeticiones 939		P= 0.009265929207906138	I= 6.753848624500367 bits
ap:	repeticiones 235		P= 0.0023189492692842835	I= 8.75231302558914 bits
aq:	repeticiones 81		P= 0.000799297407710753	I= 10.288979969269517 bits
ar:	repeticiones 1274		P= 0.012571665400290115	I= 6.313680409897841 bits
as:	repeticiones 1080		P= 0.010657298769476707	I= 6.55201437510331 bits
at:	repeticiones 246		P= 0.0024274958308252497	I= 8.686315466814902 bits
au:	repeticiones 82		P= 0.00080916527694175	I= 10.271277967536058 bits
av:	repeticiones 362		P= 0.0035721686616208962	I= 8.128984085070936 bits
aw:	repeticiones 0		P= 0.0	I= 0 bits
ax:	repeticiones 8		P= 7.894295384797561e-05	I= 13.628829972154142 bits
ay:	repeticiones 0		P= 0.0	I= 0 bits
az:	repeticiones 102		P= 0.001006522661561689	I= 9.956404630182645 bits
a&:	repeticiones 3661		P= 0.036126269254679835	I= 4.790807913849596 bits
ba:	repeticiones 107		P= 0.0010558620077166737	I= 9.887362985752995 bits
bb:	repeticiones 0		P= 0.0	I= 0 bits
bc:	repeticiones 0		P= 0.0	I= 0 bits
bç:	repeticiones 0		P= 0.0	I= 0 bits
bd:	repeticiones 0		P= 0.0	I= 0 bits
be:	repeticiones 169		P= 0.0016676699000384846	I= 9.227950535871956 bits
bf:	repeticiones 0		P= 0.0	I= 0 bits
bg:	repeticiones 0		P= 0.0	I= 0 bits
bh:	repeticiones 0		P= 0.0	I= 0 bits
bi:	repeticiones 81		P= 0.000799297407710753	I= 10.288979969269517 bits
bj:	repeticiones 3		P= 2.9603607692990853e-05	I= 15.043867471432986 bits
bk:	repeticiones 0		P= 0.0	I= 0 bits
bl:	repeticiones 9		P= 8.881082307897256e-05	I= 13.45890497071183 bits
bm:	repeticiones 0		P= 0.0	I= 0 bits
bn:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
bo:	repeticiones 76		P= 0.0007499580615557683	I= 10.380902458710557 bits
bp:	repeticiones 0		P= 0.0	I= 0 bits
bq:	repeticiones 0		P= 0.0	I= 0 bits
br:	repeticiones 167		P= 0.0016479341615764909	I= 9.245125679680088 bits
bs:	repeticiones 15		P= 0.00014801803846495426	I= 12.721939376545622 bits
bt:	repeticiones 0		P= 0.0	I= 0 bits
bu:	repeticiones 25		P= 0.0002466967307749238	I= 11.984973782379416 bits
bv:	repeticiones 3		P= 2.9603607692990853e-05	I= 15.043867471432986 bits
bw:	repeticiones 0		P= 0.0	I= 0 bits
bx:	repeticiones 0		P= 0.0	I= 0 bits
by:	repeticiones 0		P= 0.0	I= 0 bits
bz:	repeticiones 0		P= 0.0	I= 0 bits
b&:	repeticiones 0		P= 0.0	I= 0 bits
ca:	repeticiones 614		P= 0.0060588717078321275	I= 7.366735126783962 bits
cb:	repeticiones 0		P= 0.0	I= 0 bits
cc:	repeticiones 1		P= 9.867869230996951e-06	I= 16.62882997215414 bits
cç:	repeticiones 19		P= 0.00018748951538894207	I= 12.380902458710557 bits
cd:	repeticiones 0		P= 0.0	I= 0 bits
ce:	repeticiones 443		P= 0.004371466069331649	I= 7.837667083599123 bits
cf:	repeticiones 0		P= 0.0	I= 0 bits
cg:	repeticiones 0		P= 0.0	I= 0 bits
ch:	repeticiones 127		P= 0.0012532193923366127	I= 9.640145285381976 bits
ci:	repeticiones 343		P= 0.0033846791462319543	I= 8.206765205981329 bits
cj:	repeticiones 0		P= 0.0	I= 0 bits
ck:	repeticiones 0		P= 0.0	I= 0 bits
cl:	repeticiones 45		P= 0.00044405411539486276	I= 11.136976875824466 bits
cm:	repeticiones 0		P= 0.0	I= 0 bits
